type,area,neighborhood,latitude,longitude,age,floor,bedrooms,price,sqmprice,zone,street,elevator,parking,storage,yard,balcony,reconstructed
0,140.0,16,36.326877,59.619993,0.0,3.0,2.0,1450000000,10357142.0,2.0,39,0,0,1,0,0,0
0,97.0,1,36.3737765,59.47582,0.0,2.0,2.0,3150000000,32474226.0,12.0,29,1,1,1,0,0,0
0,270.0,8,36.29935,59.56544,0.0,3.0,4.0,17500000000,64814814.0,1.0,20,1,1,1,0,0,0
0,200.0,1,36.371998,59.48333,2.0,4.0,3.0,6000000000,30000000.0,12.0,29,1,1,1,0,0,0
0,78.0,4,36.26005,59.6119,5.0,3.0,2.0,2750000000,35256410.0,7.0,246,1,1,1,0,0,0
0,100.0,0,36.32754,59.52752,9.0,1.0,2.0,3150000000,31500000.0,11.0,7,1,1,1,0,0,0
0,340.0,16,36.32581,59.58692,10.0,4.0,4.0,12000000000,35294117.0,2.0,204,1,1,1,0,0,0
0,51.0,3,36.36002,59.5174,9.0,1.0,1.0,860000000,16862745.0,10.0,178,0,0,1,0,0,1
0,135.0,1,36.3737765,59.47582,2.0,1.0,2.0,4590000000,34000000.0,12.0,29,1,1,1,0,0,1
0,150.0,1,36.376486204739,59.468277999523,1.0,2.0,3.0,5100000000,34000000.0,12.0,29,1,1,1,0,0,0
0,156.0,17,36.310604816622615,59.50447669120178,0.0,5.0,3.0,7200000000,46153846.0,9.0,229,1,1,1,0,0,0
0,127.0,1,36.3737765,59.47582,4.0,4.0,3.0,4350000000,34251968.0,12.0,29,1,1,1,0,0,0
0,133.0,1,36.3737765,59.47582,1.0,4.0,2.0,4060000000,30526315.0,12.0,29,1,1,1,0,0,0
0,110.0,9,36.29603,59.6437,5.0,3.0,2.0,2200000000,20000000.0,4.0,196,0,0,0,0,0,0
0,80.0,3,36.35685,59.49607,14.0,0.0,1.0,2300000000,28750000.0,10.0,178,0,1,1,1,0,1
0,114.0,16,36.31799,59.6073,0.0,0.0,2.0,3500000000,30701754.0,2.0,154,0,0,0,0,0,0
0,170.0,7,36.302135,59.57013,6.0,3.0,3.0,8300000000,48823529.0,1.0,101,1,1,1,0,0,0
0,105.0,1,36.3737765,59.47582,2.0,4.0,2.0,3550000000,33809523.0,12.0,29,1,1,1,0,0,0
0,85.0,18,36.27278,59.60273,0.0,3.0,2.0,4300000000,50588235.0,8.0,31,1,1,1,0,1,1
0,135.0,3,36.36605,59.51608,7.0,4.0,3.0,4400000000,32592592.0,10.0,78,0,0,0,0,0,0
1,150.0,18,36.27278,59.60273,19.0,0.0,2.0,8000000000,53333333.0,8.0,31,0,1,1,0,1,0
0,71.0,1,36.374702,59.47151,10.0,3.0,2.0,2670000000,37605633.0,12.0,29,0,0,0,0,0,0
0,90.0,14,36.32767,59.54838,14.0,2.0,2.0,4250000000,47222222.0,2.0,166,0,1,1,0,0,1
0,110.0,1,36.38066723684211,59.484675580725245,7.0,2.0,2.0,2680000000,24363636.0,12.0,35,0,0,0,0,0,0
0,95.0,20,36.34125,59.57177,5.0,4.0,2.0,2850000000,30000000.0,2.0,262,1,1,1,0,0,0
0,55.0,12,36.26528,59.60926,0.0,1.0,1.0,1100000000,20000000.0,7.0,259,0,0,1,0,0,0
0,155.0,0,36.32754,59.52752,1.0,1.0,3.0,6850000000,44193548.0,11.0,7,1,1,1,0,0,0
0,165.0,0,36.32754,59.52752,0.0,4.0,3.0,7425000000,45000000.0,11.0,7,1,1,1,0,0,0
0,330.0,10,36.29008578096397,59.50294589843005,6.0,1.0,2.0,11000000000,33333333.0,9.0,118,0,1,0,0,0,0
0,110.0,4,36.27604529311827,59.61728154936996,0.0,5.0,2.0,3500000000,31818181.0,7.0,233,1,1,1,0,0,0
